B	 K	 xi	   gamma	 trainacc	 trainauroc	 trainauprc	 testacc	 testauroc	 testauprc
2	 2	 0	   -1.000	   0.6248	   0.6617	   0.7242	   0.6150	   0.6521	   0.6892
2	 2	 0	    0.125	   0.8443	   0.9206	   0.9291	   0.7220	   0.7930	   0.7803
2	 2	 0	    0.250	   0.8570	   0.9269	   0.9290	   0.6929	   0.7690	   0.7493
2	 2	 0	    0.500	   0.9385	   0.9796	   0.9791	   0.6607	   0.7195	   0.6884
2	 2	 0	    1.000	   0.9787	   0.9990	   0.9993	   0.6676	   0.7366	   0.7043
2	 2	 0	    2.000	   0.9903	   1.0000	   1.0000	   0.6527	   0.7417	   0.7007
2	 2	 0	    4.000	   0.9950	   1.0000	   1.0000	   0.6029	   0.7306	   0.6853
2	 2	 0	    8.000	   0.9923	   1.0000	   1.0000	   0.5595	   0.7237	   0.6754
2	 2	 1	   -1.000	   0.6618	   0.7140	   0.7575	   0.6372	   0.6862	   0.7158
2	 2	 1	    0.125	   0.8522	   0.9174	   0.9270	   0.7297	   0.8046	   0.8046
2	 2	 1	    0.250	   0.8627	   0.9446	   0.9514	   0.7253	   0.8101	   0.7886
2	 2	 1	    0.500	   0.8675	   0.9569	   0.9577	   0.6707	   0.7521	   0.7291
2	 2	 1	    1.000	   0.9157	   0.9817	   0.9836	   0.6755	   0.7596	   0.7312
2	 2	 1	    2.000	   0.8943	   0.9879	   0.9876	   0.6109	   0.7290	   0.6777
2	 2	 1	    4.000	   0.8863	   0.9790	   0.9786	   0.5367	   0.7183	   0.6632
2	 2	 1	    8.000	   0.8770	   0.9801	   0.9810	   0.5243	   0.7218	   0.6712
2	 2	 5	   -1.000	   0.6403	   0.6905	   0.7462	   0.6274	   0.6758	   0.7084
2	 2	 5	    0.125	   0.8337	   0.9188	   0.9201	   0.7338	   0.8133	   0.8005
2	 2	 5	    0.250	   0.8698	   0.9498	   0.9564	   0.7157	   0.7902	   0.7723
2	 2	 5	    0.500	   0.9138	   0.9727	   0.9686	   0.7079	   0.7847	   0.7600
2	 2	 5	    1.000	   0.9225	   0.9827	   0.9824	   0.6762	   0.7707	   0.7379
2	 2	 5	    2.000	   0.9122	   0.9820	   0.9821	   0.6293	   0.7364	   0.6925
2	 2	 5	    4.000	   0.9105	   0.9902	   0.9894	   0.5539	   0.7196	   0.6672
2	 2	 5	    8.000	   0.8812	   0.9801	   0.9821	   0.5201	   0.7162	   0.6713
2	 3	 0	   -1.000	   0.6822	   0.7318	   0.7631	   0.6395	   0.6918	   0.7193
2	 3	 0	    0.125	   0.7112	   0.8043	   0.8001	   0.6466	   0.7061	   0.7070
2	 3	 0	    0.250	   0.7310	   0.8159	   0.8375	   0.5974	   0.6469	   0.6459
2	 3	 0	    0.500	   0.7542	   0.8607	   0.8614	   0.5960	   0.6522	   0.6202
2	 3	 0	    1.000	   0.8198	   0.9399	   0.9440	   0.5955	   0.6766	   0.6413
2	 3	 0	    2.000	   0.8542	   0.9741	   0.9780	   0.5810	   0.7011	   0.6612
2	 3	 0	    4.000	   0.8575	   0.9813	   0.9818	   0.5498	   0.7231	   0.6774
2	 3	 0	    8.000	   0.9057	   0.9923	   0.9932	   0.5267	   0.7174	   0.6706
2	 3	 1	   -1.000	   0.6678	   0.7177	   0.7598	   0.6350	   0.6821	   0.7109
2	 3	 1	    0.125	   0.8152	   0.8936	   0.8977	   0.7106	   0.7942	   0.7877
2	 3	 1	    0.250	   0.8717	   0.9529	   0.9525	   0.7413	   0.8273	   0.8148
5	 2	 0	   -1.000	   0.5877	   0.6231	   0.6833	   0.5847	   0.6139	   0.6542
5	 2	 0	    0.125	   0.7950	   0.8680	   0.8645	   0.6796	   0.7421	   0.7371
5	 2	 0	    0.250	   0.7093	   0.7986	   0.7891	   0.6058	   0.6493	   0.6327
